FIPS,Age_over_65
24025,39848
24027,42755
24029,5120
24031,156825
24033,116822
24035,9119
24037,14091
24039,4174
24041,10595
24043,25239
24045,15847
24047,14139
24510,82721
25001,63581
25003,28620
25005,93298
25007,4033
25009,130887
25011,14920
25013,77013
25015,26753
25017,239915
25019,1631
25021,115968
25023,90730
25025,93712
25027,126028
26001,3711
26003,2257
26005,18642
26007,6488
26009,6189
26011,3662
26013,1827
26015,10917
26017,20411
26019,4545
26021,29744
26023,7900
26025,23230
26027,10455
26029,6204
26031,6802
26033,6651
26035,7121
26037,12897
26039,3461
26041,8417
26043,5591
26045,19600
26047,7192
26049,69337
26051,6655
26053,3852
26055,17690
26057,7037
26059,8719
26061,6123
26063,7749
26065,38111
26067,9323
26069,7323
26071,3344
26073,8606
26075,27279
26077,38355
26079,3476
26081,85904
26083,741
26085,3288
26087,15489
26089,6502
26091,18050
26093,31372
26095,1354
26097,2948
26099,144390
26101,6110
26103,12289
26105,6681
26107,7822
26109,5456
26111,14991
26113,3057
26115,26204
26117,10823
26119,2907
26121,28541
26123,9112
26125,205052
26127,5382
26129,5275
26131,2083
26133,4803
26135,2227
26137,5076
26139,41893
26141,3892
26143,7617
26145,35801
26147,29036
26149,10567
26151,8678
26153,2132
26155,12149
26157,10506
26159,13258
26161,49308
26163,264487
26165,6197
27001,5144
27003,47405
27005,6876
27007,7216
27009,5527
27011,1281
27013,8931
27015,5243
27017,6057
27019,11628
27021,7406
27023,2496
27025,8265
27027,8194
27029,1788
27031,1466
27033,2568
27035,14133
27037,57425
27039,2981
27041,8420
27043,3134
27045,4299
27047,6699
27049,8780
27051,1382
27053,170418
27055,3871
27057,5223
27059,6122
27061,10216
27063,2152
27065,3251
27067,7854
27069,1032
27071,3054
27073,1791
27075,2718
27077,886
27079,4829
27081,1398
27083,3986
27085,6545
27087,964
27089,1972
27091,4555
27093,4486
27095,4671
27097,6267
27099,7306
27101,2103
27103,5317
27105,3488
27107,1396
27109,23348
27111,13579
27113,2545
27115,5874
27117,1903
27119,5674
27121,2619
27123,76738
27125,802
27127,3218
27129,3002
27131,10026
27133,1866
27135,2562
27137,37627
27139,15137
27141,10261
27143,2692
27145,23088
27147,6252
27149,1649
27151,2044
27153,5121
27155,822
27157,4562
27159,2863
27161,3259
27163,36910
27165,2189
27167,1181
27169,8331
27171,16361
27173,1978
28001,5716
28003,6755
28005,2826
28007,3510
28009,1430
28011,4780
28013,2663
28015,2301
28017,2894
28019,1771
28021,1452
28023,3147
28025,3507
28027,3400
28029,4794
28031,3221
28033,22631
28035,9996
28037,1489
28039,3517
28041,1828
28043,3674
28045,9264
28047,29585
28049,32557
28051,2576
28053,1370
28055,220
28057,4060
28059,22188
28061,3246
28063,1110
28065,2477
28067,11223
28069,1925
28071,6505
28073,8142
28075,12661
28077,2213
28079,3614
28081,12372
28083,4035
28085,5736
28087,9156
28089,13407
28091,4500
28093,6043
28095,6771
28097,2088
28099,4601
28101,3443
28103,1706
28105,5462
28107,5249
28109,10164
28111,2068
28113,6571
28115,4641
28117,4447
28119,1194
28121,22500
28123,4217
28125,801
28127,4614
28129,3033
28131,2933
28133,3384
28135,2064
28137,4580
28139,3449
28141,3990
28143,1174
28145,4679
28147,2766
28149,7470
28151,7097
28153,3415
28155,1751
28157,1497
28159,3638
28161,2439
28163,3639
29001,3656
29003,3279
29005,1327
29007,4442
29009,7183
29011,2372
29013,3139
29015,5793
29017,2396
29019,21080
29021,14014
29023,7902
29025,1749
29027,7112
29029,12582
29031,12713
29033,1876
29035,1207
29037,17102
29039,3276
29041,1777
29043,13040
29045,1397
29047,33537
29049,3583
29051,12306
29053,3037
29055,4633
29057,1759
29059,3407
29061,1696
29063,2083
29065,3339
29067,3181
29069,5357
29071,17415
29073,3285
29075,1297
29077,46663
29079,2172
29081,1896
29083,4646
29085,3152
29087,1105
29089,1857
29091,7851
29093,2230
29095,101918
29097,18208
29099,32490
29101,6581
29103,847
29105,6221
29107,6011
29109,6818
29111,1830
29113,7499
29115,2487
29117,3005
29119,3480
29121,3343
29123,2286
29125,1875
29127,4973
29129,770
29131,4743
29133,2388
29135,2501
29137,1967
29139,2348
29141,4736
29143,3255
29145,10322
29147,3316
29149,2465
29151,2339
29153,2521
29155,2757
29157,3486
29159,6943
29161,7039
29163,3141
29165,14383
29167,5667
29169,4375
29171,1145
29173,2141
29175,4085
29177,4108
29179,1425
29181,2792
29183,58034
29185,2546
29186,3385
29187,10796
29189,176150
29195,4144
29197,877
29199,898
29201,6885
29203,1726
29205,1236
29207,5776
29209,9591
29211,1252
29213,11729
29215,5249
29217,3859
29219,6070
29221,4035
29223,3049
29225,5994
29227,500
29229,3537
29510,40476
30001,2010
30003,1625
30005,1013
30007,1392
30009,2648
30011,301
30013,14950
30015,1146
30017,2243
30019,423
30021,1674
30023,2075
30025,521
30027,2605
30029,18683
30031,13215
30033,239
30035,1621
30037,185
30039,965
30041,2391
30043,2448
30045,443
30047,6423
30049,12193
30051,590
30053,5418
30055,449
30057,2402
30059,453
30061,1193
30063,17653
30065,1235
30067,3566
30069,101
30071,911
30073,1198
30075,440
30077,1371
30079,350
30081,10674
30083,1648
30085,1240
30087,1354
30089,3506
30091,807
30093,6519
30095,2079
30097,1110
30099,1380
30101,825
30103,192
30105,1658
30107,432
30109,250
30111,26275
31001,5596
31003,1455
31005,107
31007,155
31009,132
31011,1173
31013,1884
