"FIPS","RPL_THEME1","RPL_THEME2","RPL_THEME3","RPL_THEME4"
29109,0.7475,0.8956,0.5766,0.5333
29113,0.4022,0.617,0.1611,0.276
29115,0.4105,0.9128,0.0675,0.1006
29121,0.5917,0.9567,0.1859,0.4514
29125,0.6904,0.6479,0.1611,0.4129
29127,0.615,0.7151,0.1837,0.6033
29129,0.3401,0.6246,0.0933,0.4374
29131,0.6812,0.7058,0.0369,0.4893
29137,0.4099,0.8669,0.2114,0.306
29139,0.6146,0.9347,0.0885,0.3973
29141,0.7525,0.7794,0.1697,0.5463
29145,0.4118,0.4107,0.5403,0.4422
29151,0.2038,0.0876,0.0232,0.1691
29157,0.3338,0.6721,0.0544,0.2499
29159,0.7051,0.8765,0.6721,0.6412
29161,0.6978,0.297,0.4164,0.8265
29167,0.5605,0.7854,0.1433,0.823
29171,0.5911,0.9908,0.241,0.2537
29173,0.3854,0.2719,0.0866,0.0436
29177,0.464,0.5371,0.1047,0.1901
29183,0.0188,0.0825,0.3801,0.1213
29186,0.3669,0.6568,0.0866,0.0974
29189,0.1277,0.2588,0.7431,0.3273
29195,0.5981,0.7886,0.7545,0.8739
29205,0.4239,0.8494,0.1681,0.3712
29217,0.4207,0.7969,0.135,0.617
29219,0.458,0.681,0.2728,0.3181
29227,0.4936,0.4674,0.0131,0.1862
30001,0.2424,0.1207,0.447,0.5094
30007,0.1583,0.3311,0.135,0.0232
30009,0.0892,0.2833,0.3177,0.022
30013,0.2452,0.4709,0.2875,0.8564
30015,0.4264,0.2709,0.6049,0.6173
30017,0.0914,0.6746,0.2677,0.6593
30021,0.0363,0.0656,0.1009,0.5285
30025,0.0268,0.1248,0.0755,0.1471
30027,0.1688,0.3155,0.0885,0.7291
30029,0.1478,0.0844,0.1656,0.3098
30031,0.0768,0.0089,0.2372,0.4486
30033,0.0459,0.0637,0,0.1054
30043,0.1143,0.1751,0.0917,0.1328
30045,0.1564,0.1767,0.0287,0.0226
30047,0.5939,0.8625,0.5702,0.4253
30049,0.0825,0.1856,0.1541,0.454
30059,0.2799,0.1796,0.1665,0.0124
30063,0.2159,0.0287,0.3101,0.6714
30067,0.0952,0.0579,0.2697,0.2557
30069,0.0296,0.0649,0.0045,0.0363
30071,0.6105,0.5361,0.2267,0.2945
30073,0.6025,0.9507,0.5441,0.8803
30075,0.0541,0.2436,0.0853,0.12
30081,0.4115,0.4791,0.0853,0.1098
30083,0.0411,0.2124,0.553,0.5167
30091,0.0965,0.1347,0.1601,0.34
30095,0.0513,0.1611,0.2165,0.0926
30099,0.2118,0.5524,0.0716,0.7383
30103,0.2462,0.2152,0.0175,0.0729
30105,0.215,0.2859,0.2639,0.1
30107,0.6742,0.5887,0.426,0.3359
30111,0.0761,0.2789,0.312,0.7453
31001,0.2675,0.3263,0.6285,0.4565
31003,0.2197,0.595,0.3075,0.0115
31007,0.0169,0.2283,0.3002,0.001
31011,0.0261,0.2627,0.1051,0.0904
31019,0.1892,0.0758,0.5915,0.6211
31021,0.222,0.7568,0.2436,0.276
31023,0.1175,0.4097,0.3763,0.0914
31025,0.0229,0.1337,0.1385,0.0493
31027,0.0799,0.3165,0.0306,0.0156
31031,0.1675,0.2308,0.6017,0.2929
31033,0.0717,0.3906,0.1882,0.2732
31035,0.2583,0.5212,0.5591,0.0178
31039,0.2162,0.4505,0.5361,0.0933
31041,0.0946,0.8268,0.3282,0.1379
31051,0.3264,0.6829,0.702,0.1904
31053,0.3771,0.6944,0.7393,0.5737
31059,0.0822,0.291,0.2627,0.0656
31065,0.2605,0.6358,0.1433,0.1621
31067,0.2242,0.362,0.1159,0.1264
31075,0.4589,0.1617,0.0118,0.1363
31081,0.0194,0.2865,0.0675,0.0185
31085,0.2987,0.1426,0.4998,6e-04
31089,0.0615,0.4104,0.3407,0.1086
31093,0.1997,0.4995,0.2044,0.0261
31095,0.2293,0.7514,0.4432,0.0793
31099,0.0771,0.2458,0.2932,0.1792
31103,0.0108,0.1582,0.0032,0.0032
31107,0.2201,0.496,0.4565,0.4721
31111,0.1338,0.6982,0.333,0.7491
31121,0.1086,0.3114,0.2165,0.5587
31123,0.4124,0.808,0.7026,0.1172
31125,0.1818,0.6157,0.0653,0.0487
31127,0.2541,0.3171,0.1821,0.2245
31131,0.1659,0.6224,0.545,0.1487
31135,0.0694,0.4202,0.2155,0.0439
31137,0.0392,0.2365,0.3954,0.2674
31139,0.0417,0.2471,0.1732,0.0385
31143,0.1978,0.2929,0.3973,0.2464
31145,0.2248,0.3827,0.2343,0.4365
31147,0.1981,0.745,0.1328,0.029
31155,0.049,0.4336,0.2365,0.0302
31157,0.4229,0.9074,0.7412,0.2878
31165,0.1398,0.1073,0.1178,0.0325
31167,0.0666,0.4387,0.4909,0.0057
31171,0.1264,0.1449,0.007,0.0029
31177,0.0159,0.2579,0.2028,0.1038
31181,0.1927,0.673,0.1146,0.0611
31183,0.0723,0.1681,0.0022,0.0086
31185,0.0787,0.2655,0.4489,0.3604
32001,0.471,0.4085,0.8188,0.6358
32019,0.5618,0.6087,0.7361,0.3419
33001,0.1159,0.2219,0.1016,0.2356
33005,0.093,0.1117,0.2174,0.5556
33007,0.4497,0.6794,0.3305,0.6979
33009,0.0713,0.0984,0.3836,0.6855
33013,0.042,0.0745,0.4288,0.538
33015,0.0146,0.0341,0.2837,0.114
33017,0.1172,0.0245,0.3556,0.8029
33019,0.1662,0.3464,0.099,0.3314
34005,0.1379,0.072,0.7778,0.3193
34015,0.1646,0.0793,0.6345,0.2286
34019,0.0185,0.0207,0.5444,0.141
34029,0.2344,0.4352,0.6208,0.3757
34033,0.451,0.5049,0.7854,0.5922
34037,0.0882,0.021,0.4992,0.0465
34041,0.2076,0.063,0.7179,0.3372
35028,0.0067,0.0532,0.5899,0.057
36017,0.4901,0.7985,0.2305,0.7571
36021,0.2322,0.383,0.5727,0.632
36023,0.3908,0.1076,0.2601,0.7969
36025,0.5016,0.4954,0.4374,0.8991
36027,0.2245,0.0506,0.7771,0.9293
36031,0.2659,0.4925,0.3305,0.7151
36035,0.5494,0.6791,0.2786,0.4801
36037,0.2366,0.2359,0.3247,0.2773
36039,0.4197,0.0755,0.517,0.7727
36045,0.4834,0.4967,0.4868,0.9207
36049,0.5258,0.4327,0.1948,0.1875
36053,0.236,0.0611,0.2057,0.531
36063,0.3201,0.2846,0.4655,0.4645
36069,0.0876,0.1815,0.4699,0.6301
36073,0.5213,0.4852,0.5177,0.8539
36075,0.6541,0.4623,0.1751,0.9354
36079,0.0895,0.0185,0.7507,0.1773
36083,0.2258,0.1691,0.5183,0.7498
36091,0.0245,0.0471,0.3273,0.2642
36095,0.4,0.5349,0.2388,0.5995
36097,0.4532,0.4228,0.1375,0.5654
36101,0.4468,0.6132,0.2948,0.6055
36103,0.1255,0.0369,0.8545,0.4288
36107,0.3029,0.3623,0.1414,0.2725
36111,0.3404,0.1372,0.673,0.8023
36113,0.1596,0.2499,0.256,0.369
36115,0.4449,0.2337,0.3457,0.6361
36117,0.3599,0.3996,0.3706,0.4183
36121,0.3933,0.1617,0.3754,0.4683
37001,0.6054,0.545,0.8606,0.802
37009,0.6379,0.3738,0.3916,0.4218
37021,0.2134,0.07,0.6587,0.8838
37023,0.8376,0.6387,0.6517,0.7924
37025,0.3191,0.3578,0.8103,0.3633
37027,0.7818,0.5135,0.5686,0.3693
37031,0.3232,0.5925,0.4852,0.5151
37035,0.5799,0.3394,0.7857,0.6616
37037,0.2793,0.4148,0.8284,0.283
37049,0.5793,0.6501,0.8217,0.9054
37053,0.2742,0.2649,0.3047,0.0579
37055,0.1296,0.1082,0.616,0.1885
37057,0.7006,0.5081,0.7014,0.5024
37059,0.4376,0.3808,0.6737,0.3356
37069,0.5631,0.3636,0.8125,0.6052
37071,0.6497,0.5272,0.6823,0.5661
37077,0.5818,0.5174,0.809,0.517
37087,0.371,0.5441,0.3352,0.1872
37097,0.3424,0.3327,0.7112,0.3069
37101,0.5172,0.6262,0.8211,0.2401
37109,0.528,0.2786,0.5387,0.1939
37115,0.6404,0.2652,0.2528,0.5161
37121,0.5379,0.4537,0.3976,0.3171
37123,0.7471,0.6861,0.8806,0.8246
37125,0.279,0.4368,0.673,0.3372
37127,0.5924,0.772,0.8306,0.8688
37139,0.6834,0.4444,0.7272,0.8268
37141,0.5787,0.234,0.695,0.5269
37145,0.7169,0.8001,0.6218,0.6224
37151,0.6646,0.6084,0.7625,0.4769
37157,0.7392,0.5852,0.6692,0.7351
37159,0.7102,0.5947,0.772,0.8144
37161,0.8293,0.7705,0.4718,0.497
37167,0.6204,0.5794,0.589,0.553
37169,0.6255,0.3693,0.1601,0.1643
37171,0.671,0.5415,0.6593,0.7014
37197,0.6678,0.539,0.6995,0.4174
38001,0.0115,0.1108,0.1203,0.2178
38003,0.101,0.1172,0.0917,0.5798
38007,0.128,0.0538,0.1009,0.1675
38009,0.1252,0.2407,0.1146,0.1363
38011,0.0707,0.2353,0.3292,0.4753
38021,0.0812,0.1605,0.1515,0.4438
38025,0.1003,0.149,0.6434,0.4435
38027,0.1656,0.943,0.2582,0.2576
38031,0.0303,0.1312,0.0544,0.1165
38033,0.0334,0.3203,0.0519,0.3785
38041,0.1806,0.2919,0.1289,0.0411
38043,0.1131,0.156,0.0573,0.0831
38049,0.0726,0.3903,0.0646,0.0379
38055,0.035,0.1547,0.3429,0.2295
38057,0.0118,0.0592,0.4514,0.4416
38059,0.0548,0.0328,0.4196,0.4811
38065,0.1828,0.6046,0.5158,0.1178
38067,0.1041,0.1175,0.1242,0.1385
38069,0.2777,0.2509,0.0977,0.4091
38073,0.0175,0.5486,0.0417,0.2798
38075,0.0099,0.2209,0.3187,0.049
38081,0.0204,0.099,0.0961,0.1853
38091,0.0029,0.1331,0.049,0.0105
38095,0.1548,0.334,0.5877,0.1716
38097,0.0433,0.1433,0.2299,0.3521
38099,0.2156,0.6517,0.5479,0.4317
39003,0.515,0.7759,0.4193,0.5954
39005,0.4051,0.327,0.3117,0.7373
39007,0.7863,0.7001,0.3391,0.844
39011,0.1035,0.3569,0.0812,0.084
39013,0.4611,0.3773,0.1254,0.5651
39015,0.5602,0.7284,0.0653,0.3671
39017,0.3076,0.2776,0.6116,0.4505
39019,0.3576,0.277,0.07,0.1697
39021,0.3889,0.6313,0.2012,0.2681
39023,0.6328,0.8991,0.5323,0.5848
39025,0.1717,0.1818,0.1923,0.2053
39027,0.4768,0.7303,0.1515,0.5247
39029,0.579,0.4139,0.135,0.7023
39033,0.4857,0.845,0.0933,0.1576
39037,0.3064,0.5842,0.0382,0.0837
39039,0.2427,0.4432,0.3894,0.1996
39043,0.2621,0.5699,0.4333,0.2783
39045,0.151,0.467,0.4476,0.3021
39051,0.2446,0.5033,0.4091,0.0723
39053,0.7669,0.6406,0.1127,0.7794
39055,0.0516,0.1242,0.235,0.3496
39057,0.2083,0.114,0.4916,0.3817
39059,0.7592,0.8669,0.1261,0.6132
39063,0.1962,0.1678,0.348,0.4674
39065,0.6271,0.2082,0.1827,0.7093
39067,0.6481,0.581,0.2569,0.4753
39069,0.1764,0.6832,0.2267,0.1082
39071,0.7901,0.8873,0.212,0.4932
39073,0.5134,0.7956,0.0665,0.5868
39077,0.4666,0.6014,0.4626,0.3165
39081,0.6398,0.61,0.2652,0.5626
39083,0.4385,0.2961,0.2044,0.3703
39085,0.1194,0.1831,0.518,0.1528
39089,0.2525,0.4842,0.2961,0.2579
39091,0.3315,0.4651,0.3699,0.3346
39093,0.4146,0.6581,0.6074,0.4451
39099,0.5755,0.6103,0.625,0.4422
39103,0.0191,0.078,0.1821,0.0592
39107,0.1076,0.2662,0.1286,0.0805
39109,0.235,0.3473,0.291,0.0665
39111,0.6245,0.8364,0.0232,0.3349
39113,0.5401,0.7046,0.6851,0.6422
39117,0.3217,0.2531,0.0783,0.3569
39119,0.658,0.773,0.1987,0.6326
39123,0.1736,0.3528,0.1815,0.2662
39125,0.342,0.6558,0.2951,0.2197
39127,0.7876,0.8227,0.0306,0.3811
39133,0.3478,0.0509,0.3773,0.5403
39135,0.3557,0.4916,0.1398,0.0815
39137,0.0618,0.1722,0.2677,0.0108
39139,0.608,0.575,0.3655,0.7303
39141,0.7369,0.7122,0.2334,0.8446
39143,0.4054,0.7899,0.4483,0.2324
39147,0.4137,0.582,0.3037,0.389
39149,0.2373,0.538,0.2477,0.1866
39151,0.3882,0.4871,0.3894,0.3846
39153,0.2908,0.2225,0.6606,0.4037
39155,0.5303,0.6119,0.3413,0.3868
39157,0.4408,0.4387,0.3321,0.3181
39159,0.0283,0.128,0.2722,0.291
39161,0.2933,0.7768,0.2209,0.0369
39165,0.0242,0.0866,0.4218,0.1331
39167,0.3303,0.7329,0.1016,0.5591
39169,0.3955,0.2506,0.426,0.8297
39171,0.4092,0.5266,0.1656,0.2369
39175,0.2299,0.6603,0.3967,0.1477
40013,0.6538,0.8341,0.6183,0.8465
40015,0.808,0.9481,0.9019,0.8357
40017,0.1452,0.3238,0.6813,0.3053
40019,0.5869,0.9144,0.6683,0.7335
40021,0.8398,0.5778,0.7915,0.9761
40027,0.2166,0.1566,0.6727,0.645
40031,0.5761,0.8239,0.7752,0.9163
40033,0.7621,0.8905,0.2929,0.4059
40035,0.7303,0.9586,0.6141,0.7243
40037,0.4739,0.624,0.4604,0.4406
40045,0.5576,0.6339,0.3543,0.0455
40047,0.4758,0.731,0.7931,0.3922
40049,0.5522,0.7112,0.611,0.228
40051,0.2739,0.4874,0.5116,0.2888
40053,0.1771,0.9351,0.2521,0.0277
40065,0.685,0.7889,0.8453,0.6893
40071,0.6908,0.9752,0.5947,0.6953
40075,0.7506,0.8828,0.5992,0.1786
40081,0.5586,0.7507,0.3636,0.2805
40083,0.3204,0.2299,0.4868,0.3789
40085,0.578,0.8389,0.8233,0.234
40087,0.1783,0.3372,0.5989,0.0691
40093,0.271,0.6628,0.6151,0.1783
40103,0.3115,0.7864,0.29,0.3244
40105,0.7076,0.7396,0.5224,0.2525
40113,0.6487,0.7014,0.4107,0.5552
40117,0.5006,0.8937,0.3671,0.4056
40123,0.5182,0.7485,0.6256,0.6402
40125,0.6561,0.836,0.5536,0.7826
40129,0.5914,0.8946,0.3508,0.0548
40131,0.1901,0.4976,0.5899,0.2773
40133,0.8583,0.9844,0.61,0.7841
40137,0.5927,0.9319,0.6094,0.2139
40145,0.335,0.7555,0.6571,0.249
40147,0.3143,0.8061,0.5826,0.3311
40149,0.379,0.5556,0.5202,0.3531
40153,0.3777,0.6059,0.7383,0.6495
41007,0.308,0.4846,0.6285,0.7577
41009,0.4035,0.5161,0.4429,0.3954
41017,0.1653,0.1487,0.5237,0.2152
41029,0.5035,0.7252,0.6765,0.8472
41035,0.7627,0.8029,0.7011,0.8561
41037,0.6787,0.7615,0.412,0.8609
41043,0.5701,0.7822,0.5817,0.6428
41053,0.4955,0.3875,0.7676,0.5677
41061,0.4506,0.7418,0.4126,0.929
41065,0.4554,0.8548,0.8036,0.9733
41071,0.4086,0.4273,0.7771,0.8902
42001,0.2443,0.1461,0.5215,0.2789
42005,0.449,0.4212,0.0583,0.2614
42007,0.2146,0.3668,0.3069,0.4196
42009,0.465,0.3671,0.0984,0.3053
42013,0.4,0.6202,0.155,0.6189
42015,0.365,0.6816,0.1172,0.5065
42017,0.0436,0.0462,0.6266,0.1983
42019,0.0532,0.0564,0.1095,0.5412
42025,0.4828,0.3247,0.3305,0.2216
42029,0.0494,0.0493,0.7303,0.3387
42031,0.6022,0.1977,0.1875,0.774
42033,0.6618,0.3932,0.3591,0.73
42035,0.6064,0.2009,0.2461,0.7287
42037,0.4312,0.0869,0.2416,0.5196
42039,0.4952,0.6434,0.1493,0.7412
42041,0.0646,0.0605,0.5677,0.4712
42047,0.1758,0.4349,0.0567,0.2015
42051,0.6503,0.6749,0.2353,0.7479
42055,0.3382,0.5536,0.4925,0.2579
42057,0.458,0.4683,0.0162,0.2095
42063,0.6229,0.0704,0.3766,0.9198
42065,0.4108,0.5088,0.1273,0.4594
42067,0.4701,0.3591,0.4301,0.5326
42073,0.4475,0.7131,0.2983,0.5253
42075,0.3717,0.5177,0.6944,0.6135
42077,0.3952,0.5068,0.8688,0.7221
42081,0.4248,0.4113,0.2623,0.6708
42083,0.5615,0.6781,0.1971,0.703
42085,0.4379,0.5616,0.3012,0.8446
42089,0.4599,0.1468,0.7759,0.1194
42095,0.2061,0.1264,0.7291,0.447
42099,0.2363,0.2015,0.1643,0.1614
42103,0.2732,0.3337,0.6415,0.0048
42105,0.599,0.6928,0.2327,0.2875
42107,0.4898,0.5667,0.311,0.4715
42109,0.3322,0.0675,0.2512,0.575
42111,0.4732,0.2607,0.2089,0.7564
42115,0.3927,0.4604,0.1449,0.1519
42117,0.4806,0.4269,0.0382,0.4295
42121,0.5229,0.6975,0.0809,0.4912
42123,0.3108,0.418,0.1309,0.2853
42125,0.1433,0.164,0.2267,0.4868
42127,0.4204,0.3025,0.2923,0.2318
42129,0.1127,0.2162,0.1859,0.3967
42131,0.2697,0.2576,0.0458,0.1748
42133,0.2627,0.3298,0.6116,0.3862
44001,0.0873,0.0528,0.4642,0.391
44005,0.0736,0.0996,0.5129,0.4874
44009,0.1545,0.0398,0.3518,0.2687
45003,0.6185,0.5314,0.7701,0.5199
45007,0.6003,0.7154,0.575,0.7049
45015,0.3704,0.4591,0.7902,0.5107
45023,0.8611,0.6893,0.531,0.3805
45035,0.3634,0.4155,0.7103,0.3378
45045,0.3309,0.1897,0.8239,0.7326
45055,0.6691,0.7921,0.5842,0.071
45057,0.5277,0.4846,0.6912,0.3216
45063,0.3545,0.3365,0.7119,0.4693
45073,0.6516,0.7915,0.6008,0.6278
45077,0.6611,0.0853,0.4339,0.9175
45083,0.5713,0.5651,0.7851,0.8513
45091,0.3255,0.3181,0.6651,0.3547
46015,0.3946,0.8918,0.2248,0.8252
46019,0.2949,0.9064,0.1165,0.4524
46025,0.2264,0.475,0.2592,0.157
46029,0.1599,0.3585,0.2117,0.6221
46039,0.1385,0.2878,0.2744,0.0748
46043,0.1605,0.2779,0.0793,0.405
46045,0.0793,0.206,0.0605,0.1041
46051,0.0742,0.304,0.2194,0.0672
46053,0.2783,0.8469,0.1735,0.2553
46055,0.329,0.8997,0.0716,0.4476
46059,0.0236,0.3002,0.0051,0.1665
46063,0.0627,0.0516,0.4056,0.3025
46067,0.3019,0.6498,0.155,0.2636
46077,0.0745,0.2324,0.028,0.0669
46079,0.1971,0.0624,0.3674,0.5861
46081,0.1013,0.1541,0.3171,0.8625
46093,0.05,0.1146,0.2206,0.3766
46097,0.2376,0.4225,0.099,0.092
46101,0.3318,0.5565,0.617,0.3155
46105,0.1032,0.2728,0.0252,0.3954
46111,0.1207,0.1318,0.3015,0.0392
46115,0.086,0.6148,0.2627,0.2767
46117,0.0057,0.6211,0.2267,0.241
46119,0,0.256,0.0287,0.0573
46123,0.4369,0.6017,0.2878,0.2706
46125,0.108,0.5186,0.2365,0.1057
46129,0.1484,0.4479,0.5084,0.8058
47001,0.5468,0.7892,0.4578,0.5664
47003,0.6592,0.8383,0.7876,0.5454
47009,0.3271,0.2178,0.3486,0.3142
47011,0.6366,0.5759,0.61,0.687
47015,0.5965,0.3894,0.1293,0.3585
47019,0.7873,0.6931,0.107,0.5871
47021,0.4271,0.2547,0.2455,0.2225
47025,0.9207,0.4903,0.2101,0.6094
47031,0.5382,0.7599,0.355,0.3429
47033,0.7538,0.8679,0.7256,0.4072
47039,0.8064,0.6867,0.1111,0.235
47041,0.6675,0.3731,0.212,0.3477
47043,0.4962,0.3254,0.4031,0.4734
47047,0.4799,0.2604,0.4766,0.0885
47051,0.4557,0.5158,0.4756,0.2381
47053,0.7433,0.9564,0.4126,0.3884
47055,0.6385,0.6351,0.3846,0.5944
47063,0.8557,0.7058,0.731,0.4986
47065,0.3627,0.1356,0.7125,0.5887
47071,0.8624,0.7577,0.3031,0.4394
47077,0.8599,0.5683,0.4368,0.4308
47079,0.7586,0.9175,0.3031,0.2748
47081,0.7385,0.4078,0.2652,0.561
47089,0.5997,0.4607,0.3976,0.6288
47099,0.8745,0.9344,0.4355,0.5438
47101,0.6701,0.922,0.1127,0.6208
47103,0.6013,0.9105,0.4142,0.5642
47107,0.7637,0.6399,0.4075,0.4728
47111,0.7226,0.9118,0.4721,0.3566
47113,0.5783,0.5985,0.7612,0.7017
47115,0.6863,0.8147,0.1452,0.2923
47117,0.6315,0.8211,0.5922,0.2996
47119,0.3844,0.4139,0.5581,0.3792
47127,0.3003,0.1773,0.0853,0.107
47131,0.7952,0.8968,0.5247,0.4253
47133,0.707,0.4639,0.0729,0.4218
47139,0.7809,0.5097,0.0646,0.361
47141,0.7127,0.3015,0.5689,0.546
47143,0.8933,0.8379,0.5272,0.5005
47145,0.5525,0.3664,0.2127,0.4132
47147,0.4309,0.5508,0.6227,0.2671
47149,0.2771,0.2448,0.7927,0.2824
47155,0.6452,0.5056,0.574,0.5056
47159,0.4646,0.6667,0.0876,0.1589
47161,0.7404,0.6259,0.1407,0.1445
47163,0.592,0.7173,0.1971,0.6049
47165,0.1739,0.3817,0.5457,0.1815
47167,0.5803,0.7564,0.4661,0.1429
47177,0.843,0.9242,0.6323,0.4397
47179,0.4331,0.3601,0.32,0.7268
47183,0.7777,0.3722,0.347,0.6956
47185,0.8401,0.7545,0.1086,0.376
47189,0.1156,0.2295,0.5501,0.1582
48009,0.1306,0.327,0.4769,0.0309
48011,0.1223,0.1799,0.453,0.2735
48023,0.3045,0.7157,0.2174,0.0293
48031,0.2258,0.3391,0.7367,0.2069
48043,0.4213,0.4855,0.8781,0.745
48049,0.479,0.4556,0.7692,0.6931
48053,0.2927,0.8144,0.7822,0.4479
48059,0.4194,0.6157,0.4273,0.1035
48065,0.0223,0.4209,0.3961,0.0083
48067,0.7879,0.7934,0.4594,0.6819
48077,0.4564,0.4546,0.5282,0.1092
48083,0.5392,0.4862,0.7217,0.1063
48091,0.0643,0.2426,0.7947,0.3324
48097,0.4404,0.6294,0.8138,0.5925
48119,0.6854,0.8007,0.3811,0.2942
48143,0.5627,0.036,0.7838,0.9573
48149,0.2713,0.2974,0.7736,0.5861
48151,0.5752,0.4323,0.8542,0.0592
48159,0.4748,0.8437,0.7437,0.1964
48175,0.5048,0.5476,0.7644,0.4597
48179,0.6987,0.6711,0.8733,0.8106
48181,0.4439,0.7816,0.7666,0.6383
48183,0.6073,0.7663,0.9051,0.951
48187,0.2191,0.4756,0.8997,0.3989
48203,0.6131,0.4346,0.8373,0.7179
48221,0.1624,0.1872,0.6638,0.3929
48223,0.5758,0.8392,0.8004,0.4483
48233,0.6223,0.9223,0.7934,0.2022
48235,0.3554,0.5005,0.3241,0.0694
48241,0.7446,0.9249,0.5718,0.6711
48251,0.3777,0.3212,0.808,0.5431
48259,0.043,0.4266,0.7685,0.2455
48277,0.6841,0.9557,0.6539,0.6902
48281,0.4096,0.8246,0.6329,0.4136
48307,0.5529,0.9895,0.7635,0.3072
48337,0.4854,0.8701,0.674,0.3292
48343,0.7089,0.7832,0.7402,0.4015
48361,0.422,0.8166,0.5473,0.6078
48363,0.7487,0.8978,0.8147,0.7491
48367,0.2086,0.1614,0.6367,0.3645
48373,0.7583,0.8052,0.8176,0.9319
48381,0.0847,0.1732,0.7004,0.39
48387,0.8143,0.4499,0.3496,0.2983
48395,0.5952,0.5708,0.8529,0.7141
48399,0.5637,0.8835,0.7501,0.1089
48441,0.4465,0.6905,0.8274,0.7399
48459,0.6605,0.4702,0.6087,0.4021
48467,0.5503,0.7192,0.6094,0.3391
48477,0.4822,0.4397,0.8494,0.8892
48503,0.4153,0.9166,0.6749,0.2967
49017,0.443,0.6074,0.5113,0.3696
49025,0.2506,0.3715,0.2426,0.0468
49055,0.2984,0.3384,0.5938,0.233
50003,0.186,0.7746,0.0837,0.5992
50005,0.2567,0.3235,0.1933,0.5791
50011,0.1551,0.1764,0.1859,0.2598
50013,0.0637,0.0337,0.1656,0.0067
50015,0.2102,0.113,0.0793,0.4279
50017,0.2016,0.3158,0.0901,0.3884
50019,0.436,0.7259,0.1741,0.5263
50023,0.1029,0.2394,0.1697,0.5721
50025,0.2599,0.4177,0.1595,0.6788
50027,0.0968,0.3464,0.155,0.3028
51005,0.6347,0.4626,0.1541,0.4381
51007,0.3608,0.2569,0.5801,0.2684
51009,0.6089,0.2155,0.5415,0.3763
51011,0.4427,0.7141,0.4152,0.1805
51015,0.249,0.0767,0.3136,0.2869
51017,0.5073,0.1156,0.1936,0.3009
51019,0.1803,0.1398,0.3715,0.1194
51023,0.0787,0.1703,0.3085,0.0497
51031,0.3465,0.2827,0.5018,0.1913
51033,0.3223,0.305,0.5852,0.3973
51035,0.5439,0.5199,0.3321,0.1461
51041,0.1124,0.2378,0.8478,0.0898
51043,0.1634,0.1808,0.4495,0.0981
51045,0.0908,0.2327,0.0191,0.2843
51047,0.3296,0.3085,0.816,0.5718
51049,0.7745,0.7147,0.46,0.2034
51053,0.5879,0.1608,0.6877,0.2362
51057,0.5354,0.6979,0.7272,0.3044
51061,0.0344,0.0904,0.645,0.0092
51063,0.3436,0.1366,0.3009,0.0503
51065,0.1293,0.0783,0.482,0.0528
51067,0.4771,0.2722,0.4174,0.4667
51069,0.1395,0.155,0.6367,0.2302
51071,0.3758,0.8344,0.1888,0.1309
51073,0.1283,0.1643,0.2553,0.0331
51075,0.0427,0.057,0.4053,0.1493
51077,0.836,0.3805,0.3754,0.5068
51079,0.2589,0.1926,0.4779,0.1188
51083,0.6134,0.6813,0.6068,0.5969
51085,0.0201,0.0484,0.4228,0.0509
51089,0.899,0.7323,0.6269,0.7956
51093,0.3917,0.2983,0.624,0.2397
51095,0.0299,0.2133,0.6275,0.1426
51097,0.5764,0.2321,0.6523,0.0649
51099,0.0379,0.1038,0.4374,0.0089
51101,0.1468,0.1732,0.3747,0.0076
51109,0.4685,0.2592,0.5976,0.1856
51113,0.3172,0.12,0.3795,0.1624
51127,0.0675,0.0223,0.2716,0.0306
51137,0.3,0.8383,0.6835,0.3088
51139,0.7449,0.5645,0.1751,0.1264
51143,0.6876,0.6192,0.602,0.419
51155,0.5344,0.3862,0.3572,0.5753
51165,0.3013,0.1789,0.5833,0.4339
51171,0.3694,0.4444,0.6081,0.2595
51177,0.1943,0.2197,0.7835,0.1468
51181,0.521,0.3216,0.433,0.2588
51187,0.3904,0.2416,0.4142,0.2117
51191,0.5863,0.4575,0.0965,0.3426
51193,0.4691,0.1703,0.7797,0.0761
51197,0.6096,0.567,0.1006,0.3394
51199,0.1099,0.3254,0.7428,0.1538
51550,0.1567,0.312,0.7303,0.2544
51580,0.5424,0.6514,0.2585,0.4212
51735,0.064,0.2267,0.2728,0.0051
51800,0.3325,0.4231,0.6501,0.255
51810,0.0978,0.1566,0.7708,0.2308
51820,0.5513,0.8278,0.6587,0.3305
53003,0.4548,0.8418,0.256,0.3142
53011,0.1774,0.2206,0.7482,0.3658
53015,0.5968,0.9252,0.5893,0.7555
53023,0.3949,0.7472,0.2334,0.0201
53027,0.6465,0.8141,0.709,0.8972
53029,0.1465,0.2311,0.5285,0.2442
53035,0.1245,0.2104,0.525,0.6507
53037,0.478,0.0178,0.5145,0.5148
53041,0.6242,0.7606,0.6657,0.8255
53045,0.5876,0.6845,0.7332,0.4215
53059,0.285,0.1114,0.3715,0.4069
53065,0.5497,0.6418,0.3534,0.3168
53067,0.2529,0.2041,0.6925,0.4518
54003,0.4605,0.6052,0.4881,0.3286
54009,0.3099,0.524,0.0458,0.7246
54023,0.6156,0.3725,0.2897,0.2213
54025,0.7293,0.5992,0.1805,0.5021
54029,0.5325,0.6027,0.1859,0.383
54031,0.4255,0.3652,0.6476,0.07
54033,0.5366,0.5072,0.0885,0.5425
54035,0.5089,0.3289,0.0271,0.2821
